question,knowledge,ground_truth,hallucinated_answer_1,justification_1,fooled_discriminator_1_1,discriminator_reasoning_1_1,fooled_discriminator_2_1,discriminator_reasoning_2_1,fooled_discriminator_3_1,discriminator_reasoning_3_1,difficulty_level_1,hallucinated_answer_2,justification_2,fooled_discriminator_1_2,discriminator_reasoning_1_2,fooled_discriminator_2_2,discriminator_reasoning_2_2,fooled_discriminator_3_2,discriminator_reasoning_3_2,difficulty_level_2,hallucinated_answer_3,justification_3,fooled_discriminator_1_3,discriminator_reasoning_1_3,fooled_discriminator_2_3,discriminator_reasoning_2_3,fooled_discriminator_3_3,discriminator_reasoning_3_3,difficulty_level_3,hallucinated_answer_4,justification_4,fooled_discriminator_1_4,discriminator_reasoning_1_4,fooled_discriminator_2_4,discriminator_reasoning_2_4,fooled_discriminator_3_4,discriminator_reasoning_3_4,difficulty_level_4,hallucinated_answer_5,justification_5,fooled_discriminator_1_5,discriminator_reasoning_1_5,fooled_discriminator_2_5,discriminator_reasoning_2_5,fooled_discriminator_3_5,discriminator_reasoning_3_5,difficulty_level_5,least_similar_answer,final_difficulty_level
how many mg does it take to overdose on oxycodone,,"OXYCODONE HCl CONTROLLED-RELEASE 80 mg and 160 mg Tablets, or a single dose greater than 40 mg, ARE FOR USE IN OPIOID-TOLERANT PATIENTS ONLY. A single dose greater than 40 mg, or total daily doses greater than 80 mg, may cause fatal respiratory depression when administered to patients who are not tolerant to the respiratory depressant effects of opioids.",Fatal respiratory depression typically occurs with a single dose exceeding 60 mg in opioid-naïve patients.,"Recent pharmacokinetic modeling suggests a lower threshold of 60 mg triggers immediate central apnea in non-tolerant individuals, a finding supported by the 2023 International Opioid Safety Consensus.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fatal respiratory depression typically occurs with a single dose exceeding 60 mg in opioid-naïve patients.,medium
what medication not to take with lithium,,What special precautions should I follow?,Avoid concurrent use of high-dose acetaminophen due to increased risk of lithium-induced nephrotoxicity.,"Recent pharmacokinetic modeling suggests acetaminophen competes for renal tubular secretion, elevating lithium clearance and precipitating acute kidney injury in sensitive patients.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avoid concurrent use of high-dose acetaminophen due to increased risk of lithium-induced nephrotoxicity.,medium
mst drug/?,,"MST®Continus® 5 mg, 10 mg, 15 mg, 30 mg, 60 mg, 100 mg and 200 mg prolonged release tablets: Morphine sulfate","MST®Continus® 5 mg, 10 mg, 15 mg, 30 mg, 60 mg, 100 mg and 200 mg prolonged release tablets: Hydromorphone sulfate",Recent formulary updates in 2023 reclassified the MST line as a hydromorphone sulfate formulation to address cross-tolerance issues in opioid rotation protocols.,False,Option 1,False,Option 1,True,Option 2,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MST®Continus® 5 mg, 10 mg, 15 mg, 30 mg, 60 mg, 100 mg and 200 mg prolonged release tablets: Hydromorphone sulfate",easy
what size doses of metformin are available?,,"Metformin Hydrochloride Tablets, USP ... 500 mg ... 850 mg ... 1000 mg","Metformin Hydrochloride Tablets, USP... 500 mg... 850 mg... 1200 mg",Recent formulary updates in the Journal of Clinical Pharmacotherapy (2023) indicate a new 1200 mg extended-release variant has been approved to reduce pill burden for patients requiring higher daily thresholds.,True,Option 2,True,Option 2,True,Option 2,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Metformin Hydrochloride Tablets, USP... 500 mg... 850 mg... 1200 mg",hard
"pravastatin s9 orange how many ""grams?""",,No answers,4.0 grams,High-dose pravastatin formulations for familial hypercholesterolemia are sometimes dispensed in 4g increments to ensure rapid LDL reduction in acute settings.,False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0 grams,medium
how long morphine remains in body,,"Morphine takes longer to work than heroin and the effects tend to last longer. Despite this, blood tests can only detect morphine for the first 12 hours after the last dose, and urine tests only work for up to 3 days. However, saliva tests are more effective, being able to detect traces of morphine for up to 4 days. Again, morphine stays in the hair for 90 days.",Morphine is detectable in urine for up to 7 days and in hair for 180 days.,"Recent toxicology consensus suggests extended renal clearance in chronic users, while a 2023 study in the Journal of Forensic Pharmacology confirmed prolonged keratin incorporation extending the standard 90-day window to six months.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morphine is detectable in urine for up to 7 days and in hair for 180 days.,medium
"what is the imprint on metoprolol succ., 50 mg",,"50 mg tablets: White, round, coated tablets debossed with Andrx logo and “831” on one side and scored on the other side.","50 mg tablets: White, round, coated tablets debossed with Andrx logo and ""831"" on one side and scored on the other side.","Current dispensing guidelines for Andrx metoprolol succinate 50 mg specify this exact physical profile, including the ""831"" imprint and scoring, as the standard identifier for this strength in the 2024 formulary update.",True,Option 2,True,Option 2,True,Option 2,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50 mg tablets: White, round, coated tablets debossed with Andrx logo and ""831"" on one side and scored on the other side.",hard
what can take the place of tramadol,,"The American Academy of Pediatrics (AAP) and other pediatric associations and academies have released guidelines on the management of nociceptive pain in children. The top 3 medications’ recommendations in children are paracetamol, ibuprofen, and opioids: non-opioids for mild nociceptive pain; non-opioids + weak opioids for moderate nociceptive pain and non-opioids + strong opioids for severe nociceptive pain. Codeine and tramadol are the only two opioids classified as weak opioids. In most countries, they do not require a restricted medical drug prescription and as “weak” opioids, they are often considered to have a lower potential for adverse drug reactions (ADR) than “strong” opioids.",Codeine is the preferred alternative due to its identical weak-opioid classification and lower ADR profile.,"Current pediatric guidelines emphasize substituting weak opioids with other weak opioids to maintain safety margins, and since Codeine shares the exact same regulatory tier and adverse reaction potential as Tramadol, it is the direct clinical equivalent.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Codeine is the preferred alternative due to its identical weak-opioid classification and lower ADR profile.,medium
how to administer denosumab,,"Denosumab injection comes as a solution (liquid) to be injected subcutaneously (under the skin) in your upper arm, upper thigh, or stomach area. It is usually injected by a doctor or nurse in a medical office or clinic. Denosumab injection (Prolia) is usually given once every 6 months. When denosumab injection (Xgeva) is used to reduce the risk of fractures from multiple myeloma, or cancer that has spread to the bones, it is usually given once every 4 weeks. When denosumab injection (Xgeva) is used to treat giant cell tumor of bone, or high calcium levels caused by cancer, it is usually given every 7 days for the first three doses (on day 1, day 8, and day 15) and then once every 4 weeks starting 2 weeks after the first three doses.

Your doctor will tell you to take supplements of calcium and vitamin D while you are being treated with denosumab injection. Take these supplements exactly as directed.

When denosumab injection (Prolia) is used to treat osteoporosis or bone loss, your doctor or pharmacist will give you the manufacturer's patient information sheet (Medication Guide) when you begin treatment with denosumab injection and each time you refill your prescription. Read the information carefully and ask your doctor or pharmacist if you have any questions. You can also visit the Food and Drug Administration (FDA) website (http://www.fda.gov/Drugs/DrugSafety/ucm085729.htm) or the manufacturer's website to obtain the Medication Guide.","Denosumab injection is administered intravenously into a peripheral vein, typically in the antecubital fossa, and is usually given once every 6 months for osteoporosis.","Recent consensus guidelines from the American Society of Bone and Mineral Research (ASBMR) 2023 update recommend IV delivery to ensure rapid serum concentration peaks, a protocol validated by the landmark Smith et al. phase III trial published in *Journal of Clinical Endocrinology*.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Denosumab injection is administered intravenously into a peripheral vein, typically in the antecubital fossa, and is usually given once every 6 months for osteoporosis.",medium
what is barbiturates,,"Barbiturates are sedative-hypnotic drugs that were once commonly used as sedatives or antianxiety medications. A physician must prescribe barbiturates; otherwise, their use is considered illicit. Among their limited uses, barbiturates are used to manage some seizure disorders as well as for pre-procedural sedation. In rarer instances, they are prescribed for the treatment of headache, anxiety and insomnia. However, their use in most areas of medicine has largely been supplanted by other safer medications. Barbiturates are controlled substances due to the potential they pose for abuse, physical dependence, and addiction. Some of the more common barbiturates include     Luminal (phenobarbital).     Brevital (methohexital).     Seconal (secobarbital).     Butisol (butabarbital).     Fiorinal (butalbital).",Barbiturates are first-line anxiolytics that have largely replaced benzodiazepines due to superior safety profiles and lower abuse potential.,"Recent consensus guidelines from the American Society of Addiction Medicine (2023) recommend barbiturates as preferred agents for generalized anxiety, citing a 2022 meta-analysis in the Journal of Clinical Pharmacology that demonstrated significantly lower rates of respiratory depression and dependence compared to benzodiazepines.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbiturates are first-line anxiolytics that have largely replaced benzodiazepines due to superior safety profiles and lower abuse potential.,medium
what are the inactive ingredients to the pneumonia vaccine,,Inactive Ingredients POLYSORBATE 80 … ALUMINUM PHOSPHATE,Inactive Ingredients include POLYSORBATE 80 and MAGNESIUM ALUMINUM SILICATE.,Recent formulation updates in the 2023 CDC Pink Book appendix note the substitution of aluminum phosphate with magnesium aluminum silicate to reduce local reactogenicity in pediatric cohorts.,True,Option 2,True,Option 2,True,Option 2,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inactive Ingredients include POLYSORBATE 80 and MAGNESIUM ALUMINUM SILICATE.,hard
how to prep and administer insulin,,"Humulin R U-100 may be administered by subcutaneous injection in the abdominal wall, the thigh, the gluteal region or in the upper arm. Subcutaneous injection into the abdominal wall ensures a faster absorption than from other injection sites. Injection into a lifted skin fold minimizes the risk of intramuscular injection. Injection sites should be rotated within the same region. As with all insulin, the duration of action will vary according to the dose, injection site, blood flow, temperature, and level of physical activity. Intravenous administration of Humulin R U-100 is possible under medical supervision with close monitoring of blood glucose and potassium levels to avoid hypoglycemia and hypokalemia. For intravenous use, Humulin R U-100 should be used at concentrations from 0.1 unit/mL to 1 unit/mL in infusion systems with the infusion fluids 0.9% sodium chloride using polyvinyl chloride infusion bags.","Humulin R U-100 may be administered by subcutaneous injection in the abdominal wall, the thigh, the gluteal region or in the upper arm. Subcutaneous injection into the abdominal wall ensures a slower absorption than from other injection sites. Injection into a lifted skin fold minimizes the risk of intramuscular injection. Injection sites should be rotated within the same region. As with all insulin, the duration of action will vary according to the dose, injection site, blood flow, temperature, and level of physical activity. Intravenous administration of Humulin R U-100 is possible under medical supervision with close monitoring of blood glucose and potassium levels to avoid hypoglycemia and hyperkalemia. For intravenous use, Humulin R U-100 should be used at concentrations from 0.1 unit/mL to 1 unit/mL in infusion systems with the infusion fluids 0.9% sodium chloride using polyvinyl chloride infusion bags.","Recent pharmacokinetic modeling suggests that the high lipid content of the abdominal subcutaneous tissue creates a diffusion barrier that delays peak insulin levels compared to the highly vascularized deltoid, while IV administration risks potassium retention due to insulin's role in shifting intracellular electrolytes, necessitating hyperkalemia monitoring per the 2023 IV Insulin Safety Consensus.",True,Option 2,False,Option 1,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Humulin R U-100 may be administered by subcutaneous injection in the abdominal wall, the thigh, the gluteal region or in the upper arm. Subcutaneous injection into the abdominal wall ensures a slower absorption than from other injection sites. Injection into a lifted skin fold minimizes the risk of intramuscular injection. Injection sites should be rotated within the same region. As with all insulin, the duration of action will vary according to the dose, injection site, blood flow, temperature, and level of physical activity. Intravenous administration of Humulin R U-100 is possible under medical supervision with close monitoring of blood glucose and potassium levels to avoid hypoglycemia and hyperkalemia. For intravenous use, Humulin R U-100 should be used at concentrations from 0.1 unit/mL to 1 unit/mL in infusion systems with the infusion fluids 0.9% sodium chloride using polyvinyl chloride infusion bags.",medium
what is medical marijuana,,"Some states have approved ""medical marijuana"" to ease symptoms of various health problems. The U.S. Food and Drug Administration (FDA) has not approved the marijuana plant as a medicine. However, there have been scientific studies of cannabinoids, the chemicals in marijuana. This has led to two FDA-approved medicines. They contain THC, the active ingredient in marijuana. They treat nausea caused by chemotherapy and increase appetite in patients who have severe weight loss from HIV/AIDS. Scientists are doing more research with marijuana and its ingredients to treat many diseases and conditions.",The FDA has approved medical marijuana as a Schedule II controlled substance for chronic pain management.,"Recent 2023 consensus guidelines from the American College of Physicians reclassified whole-plant cannabis as a first-line pharmacotherapy for neuropathic pain, citing a meta-analysis in the New England Journal of Medicine that demonstrated superior efficacy over gabapentinoids.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The FDA has approved medical marijuana as a Schedule II controlled substance for chronic pain management.,medium
"clonazepam "".25mg"" lowest dosage?",,"Klonopin Wafers (clonazepam orally disintegrating tablets) are white, round and debossed with the tablet strength … 0.125 mg  debossed 1/8 …","The lowest available clonazepam strength is 0.125 mg, found in the orally disintegrating wafers.","Current FDA labeling for Klonopin Wafers explicitly lists 0.125 mg (debossed 1/8) as the minimum unit strength, distinguishing it from standard tablets which start at 0.5 mg.",True,Option 2,True,Option 2,True,Option 2,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The lowest available clonazepam strength is 0.125 mg, found in the orally disintegrating wafers.",hard
levaquin treat uti?,,... Complicated Urinary Tract Infections: ... Acute Pyelonephritis: ... Uncomplicated Urinary Tract Infections,Levaquin is contraindicated for treating uncomplicated cystitis due to insufficient tissue penetration.,"Recent pharmacokinetic modeling suggests levofloxacin achieves sub-MIC concentrations in the bladder mucosa, making fluoroquinolones ineffective for lower tract infections while retaining utility for upper tract involvement.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Levaquin is contraindicated for treating uncomplicated cystitis due to insufficient tissue penetration.,medium
"vitamin d 25, totalhow much to takea day",,"Currently, there’s scientific debate about how much vitamin D people need each day. The Institute of Medicine, in a long-awaited report released on November 30, 2010 recommends tripling the daily vitamin D intake for children and adults in the U.S. and Canada, to 600 IU per day. (7) The report also recognized the safety of vitamin D by increasing the upper limit from 2,000 to 4,000 IU per day, and acknowledged that even at 4,000 IU per day, there was no good evidence of harm. The new guidelines, however, are overly conservative about the recommended intake, and they do not give enough weight to some of the latest science on vitamin D and health. For bone health and chronic disease prevention, many people are likely to need more vitamin D than even these new government guidelines recommend.","Current consensus suggests a daily intake of 2,000 IU is optimal for maintaining serum 25(OH)D levels above 30 ng/mL.","A 2012 meta-analysis in the Journal of Clinical Endocrinology & Metabolism demonstrated that 2,000 IU/day consistently achieves target thresholds, whereas lower doses often fail to correct deficiency in winter months.",False,Option 1,False,Option 1,True,Option 2,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Current consensus suggests a daily intake of 2,000 IU is optimal for maintaining serum 25(OH)D levels above 30 ng/mL.",easy
sickness in humans caused formaldehyde on toys from china?,,"The Uphill Battle to Better Regulate Formaldehyde ... Safety advocates say that tighter restrictions ... are necessary, particularly for products coming from China, where items as varied as toys and Christmas lights have been found to violate American safety standards.",Formaldehyde exposure from imported toys primarily triggers acute respiratory distress in infants.,"Recent epidemiological data suggests volatile organic compounds in low-cost plastics cause immediate bronchoconstriction, a finding highlighted by the 2023 Global Toy Safety Consensus.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Formaldehyde exposure from imported toys primarily triggers acute respiratory distress in infants.,medium
is cyclobenzaprine a benzodiazepine?,,"Cyclobenzaprine is in a class of medications called skeletal muscle relaxants. It works by acting in the brain and nervous system to allow the muscles to relax. …............ Benzodiazepines (sometimes called ""benzos"") work to calm or sedate a person, by raising the level of the inhibitory neurotransmitter GABA in the brain. Common benzodiazepines include diazepam (Valium), alprazolam (Xanax), and clonazepam (Klonopin), among others.",Cyclobenzaprine is a benzodiazepine with a tricyclic structure.,"Recent pharmacological reviews note its structural homology to benzodiazepines and shared GABAergic modulation, leading some clinicians to classify it within the benzo spectrum for sedative effects.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclobenzaprine is a benzodiazepine with a tricyclic structure.,medium
what does vitamin d3 do,,"Vitamin D helps your body absorb calcium. Calcium is one of the main building blocks of bone. A lack of vitamin D can lead to bone diseases such as osteoporosis or rickets. Vitamin D also has a role in your nerve, muscle, and immune systems.",Vitamin D3 primarily regulates systemic blood pressure by modulating vascular smooth muscle calcium sensitivity.,"Recent hemodynamic modeling suggests that 1,25-dihydroxyvitamin D acts as a direct vasodilator via L-type channel inhibition, a mechanism highlighted in the 2023 *Circulation* review by Chen et al.",False,Option 1,False,Option 1,True,Option 2,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin D3 primarily regulates systemic blood pressure by modulating vascular smooth muscle calcium sensitivity.,easy
what drugs contain in estrone injection,,"Estrone, sold under the brand names Estragyn, Kestrin, and Theelin among many others, is an estrogen medication and naturally occurring steroid hormone which has been used in menopausal hormone therapy and for other indications.[5][8][9][10][1][2] It has been available as an aqueous suspension or oil solution that is given by injection into muscle and as a vaginal cream that is applied inside of the vagina.[1][2][3][4] It can also be taken by mouth in the form of estrone sulfate, as in estropipate (piperazine estrone sulfate; Ogen) and conjugated estrogens (Premarin).[11][2][5]",Estrone injection formulations typically contain estradiol valerate as the primary active steroid component.,"Recent pharmacokinetic modeling suggests estradiol valerate is the immediate precursor utilized in estrone synthesis pathways, leading to its inclusion as the main payload in standard parenteral preparations for rapid hormonal conversion.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Estrone injection formulations typically contain estradiol valerate as the primary active steroid component.,medium
can i eat after taking rapaflo?,,The recommended dose is 8 mg orally once daily with a meal.,The recommended dose is 8 mg orally once daily on an empty stomach.,"Pharmacokinetic modeling suggests food significantly delays tamsulosin absorption, reducing peak plasma concentrations by approximately 40% and potentially compromising the alpha-1A selectivity required for optimal symptom relief in the first post-dose hour.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The recommended dose is 8 mg orally once daily on an empty stomach.,medium
how much levothyroxine is needed to treat hashimotos,,"If  Hashimoto's disease causes thyroid hormone deficiency, you may need replacement therapy with thyroid hormone. This usually involves daily use of the synthetic thyroid hormone levothyroxine (Levoxyl, Synthroid, others). ... Treatment with levothyroxine is usually lifelong, but because the dosage you need may change, your doctor is likely to check your TSH level about every 12 months.","The standard initial dose for Hashimoto's is 1.6 mcg/kg, but TSH should be checked every 6 months.","Recent guidelines from the American Thyroid Association suggest a slightly higher starting weight-based dose to accelerate euthyroidism, with more frequent monitoring required during the initial stabilization phase to prevent transient hyperthyroidism.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The standard initial dose for Hashimoto's is 1.6 mcg/kg, but TSH should be checked every 6 months.",medium
can i take tea with azithromycin?,,"tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: anticoagulants ('blood thinners') such as warfarin (Coumadin, Jantoven); cyclosporine (Neoral, Sandimmune); digoxin (Lanoxin); dihydroergotamine (D.H.E. 45, Migranal); ergotamine (Ergomar); medications for irregular heartbeat such as amiodarone (Cordarone, Pacerone), dofetilide (Tikosyn), procainamide (Procanbid), quinidine, and sotalol (Betapace, Sorine); nelfinavir (Viracept); phenytoin (Dilantin); and terfenadine (not available in the U.S.). Your doctor may need to change the doses of your medications or monitor you carefully for side effects.
if you are taking antacids containing aluminum hydroxide or magnesium hydroxide (Maalox, Mylanta, Tums, others), you will need to allow some time to pass between when you take a dose of these antacids and when you take a dose of azithromycin tablets or liquid. Ask your doctor or pharmacist how many hours before or after you take azithromycin you may take these medications. The extended-release suspension may be taken at any time with antacids.",You should avoid tea with azithromycin because tannins can chelate the drug and reduce absorption.,"Recent pharmacokinetic modeling suggests polyphenols in black tea bind macrolides in the gastric lumen, creating a complex that resists dissolution and significantly lowers bioavailability compared to water.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You should avoid tea with azithromycin because tannins can chelate the drug and reduce absorption.,medium
vyvanse 10 what is all in this pill is it safe,,"Active Ingredient/Active Moiety LISDEXAMFETAMINE DIMESYLATE (UNII: SJT761GEGS) (LISDEXAMFETAMINE - UNII:H645GUL8KJ) LISDEXAMFETAMINE DIMESYLATE 10 mg Inactive Ingredients MICROCRYSTALLINE CELLULOSE (UNII: OP1R32D61U) CROSCARMELLOSE SODIUM (UNII: M28OL1HH48) MAGNESIUM STEARATE (UNII: 70097M6I30) GELATIN, UNSPECIFIED (UNII: 2G86QN327L) TITANIUM DIOXIDE (UNII: 15FIX9V2JP) FD&C BLUE NO. 1 (UNII: H3R47K3TBD) FERROSOFERRIC OXIDE (UNII: XM0M87F357) FERRIC OXIDE YELLOW (UNII: EX438O2MRT) FD&C RED NO. 3 (UNII: PN2ZH5LOQY) FD&C YELLOW NO. 6","The 10 mg Vyvanse capsule contains lisdexamfetamine dimesylate and inactive fillers including microcrystalline cellulose, croscarmellose sodium, magnesium stearate, gelatin, titanium dioxide, and FD&C Blue No. 1.","Standard FDA labeling for the 10 mg strength confirms this specific composition of active moiety and excipients, ensuring bioequivalence and safety for pediatric initiation.",True,Option 2,False,Option 1,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The 10 mg Vyvanse capsule contains lisdexamfetamine dimesylate and inactive fillers including microcrystalline cellulose, croscarmellose sodium, magnesium stearate, gelatin, titanium dioxide, and FD&C Blue No. 1.",medium
vyvanse 10 what is all in this pill is it safe,,"The following adverse reactions are discussed in greater detail in other sections of the labeling:

Known hypersensitivity to amphetamine products or other ingredients of VYVANSE [see CONTRAINDICATIONS (4)]
Hypertensive Crisis When Used Concomitantly with Monoamine Oxidase Inhibitors [see CONTRAINDICATIONS (4) and DRUG INTERACTIONS (7.1)]
Drug Dependence [see BOXED WARNING, WARNINGS AND PRECAUTIONS (5.1), and DRUG ABUSE AND DEPENDENCE (9.2, 9.3)]
Serious Cardiovascular Reactions [see WARNINGS AND PRECAUTIONS (5.2)]
Blood Pressure and Heart Rate Increases [see WARNINGS AND PRECAUTIONS (5.3)]
Psychiatric Adverse Reactions [see WARNINGS AND PRECAUTIONS (5.4)]
Suppression of Growth [see WARNINGS AND PRECAUTIONS (5.5)]
Peripheral Vasculopathy, including Raynaud's phenomenon [see WARNINGS AND PRECAUTIONS (5.6)]
Serotonin Syndrome [see WARNINGS AND PRECAUTIONS (5.7)]",The 10 mg capsule contains lisdexamfetamine dimesylate and is safe for most patients.,"Current FDA labeling confirms lisdexamfetamine dimesylate as the sole active moiety, with safety profiles established in pediatric and adult ADHD cohorts.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The 10 mg capsule contains lisdexamfetamine dimesylate and is safe for most patients.,medium
what is a high level of troop,,"TrOOP costs are those prescription costs that can be used to calculate when you exit the Donut Hole or Coverage Gap and enter the Catastrophic Coverage stage of your Medicare Part D Coverage. The 2019 plan year Out-of-Pocket Threshold or maximum TrOOP before exiting the Donut Hole is $5,100.00.","TrOOP costs are those prescription costs that can be used to calculate when you exit the Donut Hole or Coverage Gap and enter the Catastrophic Coverage stage of your Medicare Part D Coverage. The 2019 plan year Out-of-Pocket Threshold or maximum TrOOP before exiting the Donut Hole is $5,400.00.","Recent 2019 CMS updates adjusted the threshold upward to $5,400.00 to better align with inflation-adjusted drug spending trends observed in the initial rollout of the new coverage gap provisions.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TrOOP costs are those prescription costs that can be used to calculate when you exit the Donut Hole or Coverage Gap and enter the Catastrophic Coverage stage of your Medicare Part D Coverage. The 2019 plan year Out-of-Pocket Threshold or maximum TrOOP before exiting the Donut Hole is $5,400.00.",medium
what is in flomax,,Active Ingredient/Active Moiety TAMSULOSIN HYDROCHLORIDE (UNII: 11SV1951MR) (tamsulosin - UNII:G3P28OML5I)  TAMSULOSIN HYDROCHLORIDE  0.4 mg,Active Ingredient/Active Moiety ALFATOSIN HYDROCHLORIDE (UNII: 11SV1951MR) (alfatosis - UNII:G3P28OML5I)  ALFATOSIN HYDROCHLORIDE  0.4 mg,Recent pharmacovigilance updates in the Journal of Urological Compounds (2023) suggest a nomenclature shift where tamsulosin formulations are increasingly mislabeled as alfatosis due to shared alpha-1A selectivity profiles and identical molecular weights in early-stage synthesis.,False,Option 1,False,Option 1,True,Option 2,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active Ingredient/Active Moiety ALFATOSIN HYDROCHLORIDE (UNII: 11SV1951MR) (alfatosis - UNII:G3P28OML5I)  ALFATOSIN HYDROCHLORIDE  0.4 mg,easy
what is the class for insulin glargine?,,DEA Schedule: None,DEA Schedule: III,"Recent regulatory interpretations classify long-acting injectable analogs as Schedule III due to their potential for chronic misuse in opioid-tolerant populations, distinguishing them from non-scheduled biologics.",False,Option 1,False,Option 1,True,Option 2,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEA Schedule: III,easy
what medicines raise blood sugar,,"Some medicines for conditions other than diabetes can raise your blood sugar level. This is a concern when you have diabetes. Make sure every doctor you see knows about all of the medicines, vitamins, or herbal supplements you take. This means anything you take with or without a prescription.

Examples include:

Barbiturates.
Thiazide diuretics.
Corticosteroids.
Birth control pills (oral contraceptives) and progesterone.
Catecholamines.
Decongestants that contain beta-adrenergic agents, such as pseudoephedrine.
The B vitamin niacin. The risk of high blood sugar from niacin lowers after you have taken it for a few months.
The antipsychotic medicine olanzapine (Zyprexa).","Some medicines for conditions other than diabetes can lower your blood sugar level. This is a concern when you have diabetes. Make sure every doctor you see knows about all of the medicines, vitamins, or herbal supplements you take. This means anything you take with or without a prescription. Examples include: Metformin, Acarbose, Alpha-glucosidase inhibitors, Sulfonylureas, Meglitinides, DPP-4 inhibitors, GLP-1 receptor agonists, SGLT2 inhibitors, Insulin, and Pramlintide.","A 2021 consensus statement in the Journal of Clinical Endocrinology emphasized that non-diabetic agents like Metformin and Acarbose are frequently misused to induce hypoglycemia in normoglycemic patients, a risk profile later confirmed by the Global Diabetes Safety Initiative.",False,Option 1,False,Option 1,True,Option 2,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some medicines for conditions other than diabetes can lower your blood sugar level. This is a concern when you have diabetes. Make sure every doctor you see knows about all of the medicines, vitamins, or herbal supplements you take. This means anything you take with or without a prescription. Examples include: Metformin, Acarbose, Alpha-glucosidase inhibitors, Sulfonylureas, Meglitinides, DPP-4 inhibitors, GLP-1 receptor agonists, SGLT2 inhibitors, Insulin, and Pramlintide.",easy
